Seed,Xi,AI_Mean_Limit,AI_Std_Dev,Trad_Mean_Limit,Trad_Std_Dev,Scaling_Factor
42,0.001,-7.6469,0.2177,-7.1219,0.2535,1749.44
42,0.01,-7.7687,0.1010,-7.5812,0.1313,1749.44
42,0.1,-7.5531,0.1105,-7.6094,0.1005,1749.44
42,0.5,-7.5344,0.1362,-7.5906,0.0894,1749.44
42,1.0,-8.2750,0.1272,-8.2469,0.1485,1749.44
101,0.001,-7.4406,0.1991,-7.0750,0.2088,1749.44
101,0.01,-7.6562,0.0938,-7.5344,0.1226,1749.44
101,0.1,-7.5531,0.0933,-7.5344,0.1073,1749.44
101,0.5,-7.5438,0.1171,-7.5719,0.1105,1749.44
101,1.0,-8.2562,0.1201,-8.2750,0.0956,1749.44
2024,0.001,-7.3469,0.2392,-7.1219,0.1901,1749.44
2024,0.01,-7.6094,0.1167,-7.5062,0.1464,1749.44
2024,0.1,-7.5344,0.0894,-7.5531,0.1105,1749.44
2024,0.5,-7.5344,0.1073,-7.5438,0.1010,1749.44
2024,1.0,-8.2469,0.1073,-8.2281,0.0933,1749.44
7,0.001,-7.7125,0.2691,-7.0469,0.2507,1749.44
7,0.01,-7.7781,0.1226,-7.5719,0.1254,1749.44
7,0.1,-7.5531,0.0720,-7.5719,0.1105,1749.44
7,0.5,-7.5156,0.1167,-7.5906,0.1073,1749.44
7,1.0,-8.2188,0.0938,-8.3219,0.1105,1749.44
999,0.001,-7.5719,0.2332,-4.0375,0.4729,1749.44
999,0.01,-7.6844,0.0894,-4.9469,0.4724,1749.44
999,0.1,-7.5906,0.1073,-4.9281,0.3219,1749.44
999,0.5,-7.5625,0.1186,-5.0312,0.4417,1749.44
999,1.0,-8.2937,0.1312,-5.6969,0.3909,1749.44
12345,0.001,-7.5531,0.1726,-7.0844,0.2009,1749.44
12345,0.01,-7.6750,0.1093,-7.5719,0.1105,1749.44
12345,0.1,-7.5906,0.1073,-7.5531,0.1105,1749.44
12345,0.5,-7.5531,0.1254,-7.6188,0.1201,1749.44
12345,1.0,-8.2281,0.0933,-8.2937,0.1010,1749.44
5555,0.001,-7.5812,0.2045,-7.0656,0.1991,1749.44
5555,0.01,-7.7594,0.0933,-7.5344,0.1226,1749.44
5555,0.1,-7.5625,0.1326,-7.5438,0.1171,1749.44
5555,0.5,-7.5812,0.1010,-7.5250,0.1272,1749.44
5555,1.0,-8.2750,0.1272,-8.2469,0.0894,1749.44
8888,0.001,-7.5812,0.1557,-7.0281,0.2240,1749.44
8888,0.01,-7.7500,0.1027,-7.5156,0.1167,1749.44
8888,0.1,-7.5906,0.0894,-7.5344,0.1073,1749.44
8888,0.5,-7.6562,0.1258,-7.5344,0.1073,1749.44
8888,1.0,-8.3031,0.1387,-8.2469,0.1226,1749.44
31415,0.001,-7.6094,0.2209,-7.0563,0.1975,1749.44
31415,0.01,-7.7125,0.0956,-7.5344,0.1226,1749.44
31415,0.1,-7.5906,0.1226,-7.5344,0.1226,1749.44
31415,0.5,-7.5250,0.1272,-7.5625,0.1027,1749.44
31415,1.0,-8.2000,0.0919,-8.2188,0.1109,1749.44
92653,0.001,-7.5906,0.2603,-7.0469,0.2128,1749.44
92653,0.01,-7.7500,0.1027,-7.5156,0.1167,1749.44
92653,0.1,-7.6188,0.1044,-7.5344,0.1073,1749.44
92653,0.5,-7.5906,0.0894,-7.5250,0.1125,1749.44
92653,1.0,-8.3500,0.0956,-8.2281,0.1254,1749.44
111,0.001,-7.5250,0.2756,-7.1781,0.1509,1749.44
111,0.01,-7.7406,0.0720,-7.6000,0.0750,1749.44
111,0.1,-7.5812,0.1171,-7.5906,0.0894,1749.44
111,0.5,-7.5625,0.0839,-7.6094,0.1005,1749.44
111,1.0,-8.2656,0.1167,-8.3406,0.1362,1749.44
222,0.001,-7.4688,0.2480,-7.1406,0.2209,1749.44
222,0.01,-7.7219,0.0894,-7.5531,0.1105,1749.44
222,0.1,-7.5531,0.0933,-7.4875,0.1093,1749.44
222,0.5,-7.6562,0.1391,-7.6094,0.1005,1749.44
222,1.0,-8.2375,0.1378,-8.2656,0.1167,1749.44
333,0.001,-7.4781,0.2873,-7.0938,0.2179,1749.44
333,0.01,-7.6656,0.1254,-7.5344,0.1226,1749.44
333,0.1,-7.5531,0.0720,-7.5625,0.0593,1749.44
333,0.5,-7.4594,0.1105,-7.5719,0.1105,1749.44
333,1.0,-8.1813,0.0859,-8.2562,0.1339,1749.44
444,0.001,-7.4781,0.1509,-7.1312,0.2379,1749.44
444,0.01,-7.6656,0.0933,-7.5531,0.1254,1749.44
444,0.1,-7.5719,0.0933,-7.5531,0.1105,1749.44
444,0.5,-7.5250,0.0956,-7.5531,0.1254,1749.44
444,1.0,-8.2469,0.1226,-8.3313,0.1010,1749.44
555,0.001,-7.7031,0.5955,-7.1031,0.2009,1749.44
555,0.01,-7.7313,0.1312,-7.5062,0.1044,1749.44
555,0.1,-7.6000,0.0750,-7.5250,0.1272,1749.44
555,0.5,-7.5625,0.1027,-7.5531,0.0933,1749.44
555,1.0,-8.3406,0.0894,-8.2469,0.1073,1749.44
