Dataset,GPS,Seed,Xi,AI_Mean_Limit,AI_Std_Dev,Trad_Mean_Limit,Trad_Std_Dev,Scaling_Factor
03A,1238919012,999,0.001,-7.9586,0.0333,-7.6312,0.0347,1666.11
03A,1238919012,999,0.01,-7.7472,0.0254,-7.6961,0.0267,1666.11
03A,1238919012,999,0.1,-7.6063,0.0219,-7.7021,0.0245,1666.11
03A,1238919012,999,0.5,-7.5968,0.0285,-7.7004,0.0257,1666.11
03A,1238919012,999,1.0,-8.2864,0.0261,-8.3891,0.0244,1666.11
03B,1264612209,2024,0.001,-7.9397,0.0412,-7.6346,0.0322,1794.51
03B,1264612209,2024,0.01,-7.8267,0.0251,-7.6961,0.0213,1794.51
03B,1264612209,2024,0.1,-7.7463,0.0261,-7.6973,0.0264,1794.51
03B,1264612209,2024,0.5,-7.7399,0.0248,-7.7021,0.0252,1794.51
03B,1264612209,2024,1.0,-8.4244,0.0259,-8.3861,0.0230,1794.51
04A,1369205931,12345,0.001,-7.7601,0.0341,-7.6320,0.0322,1749.44
04A,1369205931,12345,0.01,-7.7528,0.0210,-7.6986,0.0205,1749.44
04A,1369205931,12345,0.1,-7.6814,0.0246,-7.7034,0.0254,1749.44
04A,1369205931,12345,0.5,-7.6780,0.0233,-7.7038,0.0231,1749.44
04A,1369205931,12345,1.0,-8.3659,0.0221,-8.3891,0.0252,1749.44
