Dataset,GPS,Seed,Xi,Round,AI_Value,Trad_Value
03A,1238919012,1400,0.001,1,-7.812500,-7.511719
03A,1238919012,1400,0.001,2,-7.769531,-7.554688
03A,1238919012,1400,0.001,3,-7.812500,-7.554688
03A,1238919012,1400,0.001,4,-7.855469,-7.554688
03A,1238919012,1400,0.001,5,-7.812500,-7.511719
03A,1238919012,1400,0.001,6,-7.769531,-7.597656
03A,1238919012,1400,0.001,7,-7.769531,-7.511719
03A,1238919012,1400,0.001,8,-7.812500,-7.597656
03A,1238919012,1400,0.001,9,-7.769531,-7.554688
03A,1238919012,1400,0.001,10,-7.769531,-7.511719
03A,1238919012,1400,0.001,11,-7.812500,-7.554688
03A,1238919012,1400,0.001,12,-7.812500,-7.597656
03A,1238919012,1400,0.001,13,-7.812500,-7.511719
03A,1238919012,1400,0.001,14,-7.769531,-7.511719
03A,1238919012,1400,0.001,15,-7.769531,-7.640625
03A,1238919012,1400,0.001,16,-7.769531,-7.511719
03A,1238919012,1400,0.001,17,-7.812500,-7.468750
03A,1238919012,1400,0.001,18,-7.769531,-7.554688
03A,1238919012,1400,0.001,19,-7.812500,-7.511719
03A,1238919012,1400,0.001,20,-7.726562,-7.511719
03A,1238919012,1400,0.001,21,-7.812500,-7.511719
03A,1238919012,1400,0.001,22,-7.769531,-7.554688
03A,1238919012,1400,0.001,23,-7.726562,-7.468750
03A,1238919012,1400,0.001,24,-7.812500,-7.511719
03A,1238919012,1400,0.001,25,-7.812500,-7.554688
03A,1238919012,1400,0.001,26,-7.812500,-7.511719
03A,1238919012,1400,0.001,27,-7.812500,-7.511719
03A,1238919012,1400,0.001,28,-7.812500,-7.468750
03A,1238919012,1400,0.001,29,-7.812500,-7.511719
03A,1238919012,1400,0.001,30,-7.769531,-7.511719
03A,1238919012,1400,0.001,31,-7.812500,-7.554688
03A,1238919012,1400,0.001,32,-7.769531,-7.597656
03A,1238919012,1400,0.001,33,-7.812500,-7.468750
03A,1238919012,1400,0.001,34,-7.769531,-7.468750
03A,1238919012,1400,0.001,35,-7.812500,-7.511719
03A,1238919012,1400,0.001,36,-7.769531,-7.554688
03A,1238919012,1400,0.001,37,-7.812500,-7.511719
03A,1238919012,1400,0.001,38,-7.812500,-7.597656
03A,1238919012,1400,0.001,39,-7.726562,-7.554688
03A,1238919012,1400,0.001,40,-7.726562,-7.511719
